year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2000,90714,89230,90304,91457,96145,104083,112922,118053,124106,126748,127902,121073,117914,111108,109039,105858,101663,99460,100595,101004,104249,102803,100021,103296,106353,112179,118721,118215,120823,122220,118909,118250,124516,132068,134047,134640,135000,125600,120167,116681,115109,116501,116294,117948,118711,117155,114919,117957,117269,116280,121322,125864,130273,131492,133017,131804,129496,121187,110684,98010,93038,93382,89334,84685,82038,78119,75642,73692,75932,74874,75468,72286,73430,70413,70478,70253,68709,67598,64953,66478,66087,50995,46925,44159,39425,35239,32222,28025,24275,20041,16427,13448,10280,7778,5693,3969,2735,1908,1194,746,991
2001,91653,91628,89779,90776,91931,96588,104514,113331,118462,124505,127140,128415,121507,118454,111592,109482,106357,102152,100013,101057,101650,104898,103586,101043,104456,107371,113259,119640,119044,121606,123027,119677,118907,125057,132456,134460,135003,135362,125885,120366,116872,115376,116617,116347,118002,118648,117183,114854,117823,117091,116087,121071,125578,129889,131063,132578,131282,128918,120546,110073,97403,92415,92714,88615,83930,81118,77197,74634,72604,74726,73602,73943,70656,71693,68535,68307,67989,66154,64792,61903,62911,62105,47650,43449,40369,35829,31430,28463,24286,20728,16780,13393,10714,7980,5913,4283,2885,1908,1290,804,1041
2002,96026,92686,92180,90321,91286,92380,97075,104919,113773,118889,124930,127644,128916,121978,118922,112075,109998,106912,102753,100488,101692,102396,105887,104701,102328,105582,108532,114204,120564,119866,122427,123736,120277,119558,125613,132922,134829,135400,135675,126092,120542,117079,115559,116723,116447,118084,118717,117165,114801,117707,116960,115874,120802,125271,129529,130647,132056,130694,128301,119824,109387,96740,91806,92009,87837,83085,80225,76169,73565,71448,73340,72109,72384,68934,69744,66508,66083,65517,63357,61801,58500,59250,57945,44041,39920,36483,32018,27546,24578,20738,17194,13651,10693,8341,5974,4386,3043,1956,1279,861,1129
2003,99230,97079,93204,92614,90759,91768,92774,97498,105333,114226,119357,125291,128065,129384,122408,119381,112556,110509,107556,103298,101272,102431,103301,107098,105915,103602,106515,109490,115070,121274,120683,123096,124377,120872,120075,126007,133303,135178,135645,135763,126350,120707,117081,115641,116788,116465,118079,118643,117012,114673,117501,116711,115643,120470,124893,129076,130152,131494,130072,127634,119131,108696,95961,91085,91201,86863,82140,79198,75074,72402,70149,71881,70591,70644,67132,67807,64345,63666,62912,60512,58581,55117,55363,53694,40438,36271,32715,28297,23947,21001,17438,14244,10961,8379,6400,4482,3144,2108,1319,839,1200
2004,101090,100281,97625,93543,93019,91140,92143,93109,97801,105726,114602,119689,125678,128401,129734,122798,119804,112970,111045,108080,103883,102011,103471,104610,108337,107251,104790,107495,110375,115808,121900,121237,123567,124696,121237,120357,126274,133630,135165,135726,135855,126433,120678,117137,115662,116793,116396,117966,118465,116818,114431,117240,116435,115377,120103,124401,128551,129500,130849,129385,126856,118275,107899,95191,90263,90241,85877,81117,78125,73888,71193,68795,70363,69016,68826,65259,65780,62086,61236,60196,57632,55350,51691,51546,49463,36903,32560,29075,24722,20553,17712,14459,11588,8705,6470,4794,3278,2227,1456,875,1278
2005,101555,102191,100798,97971,93830,93336,91383,92409,93478,98081,106038,114924,120016,126019,128747,130105,123152,120206,113408,111509,108635,104554,103086,104910,106083,109743,108608,105921,108509,111280,116676,122553,121731,124183,125133,121698,120668,126525,133818,135306,135909,135862,126486,120742,117165,115662,116679,116356,117849,118307,116623,114214,116970,116090,114921,119643,123878,127923,128872,130166,128547,125972,117392,107031,94340,89319,89192,84742,80017,76991,72627,69903,67452,68803,67230,66855,63338,63480,59721,58544,57215,54454,51994,47964,47594,45059,33284,28865,25400,21268,17327,14680,11718,9098,6689,4861,3521,2345,1519,966,1342
2006,106278,102913,103091,101579,98722,94453,94197,92016,93124,94231,98849,106883,115684,120794,126773,129451,130917,123965,121071,114318,112618,110081,106408,105303,107167,108174,111845,110202,107512,110001,112582,117780,123709,122726,125248,125964,122669,121343,127095,134376,135765,136313,136181,126940,121063,117401,115951,116802,116425,117866,118289,116526,114014,116720,115746,114631,119265,123382,127348,128231,129413,127711,125073,116461,106191,93339,88347,88224,83695,78949,75771,71364,68460,66032,67167,65421,64921,61210,61093,57190,55811,54132,51161,48517,44190,43398,40609,29729,25281,21829,17993,14372,11853,9273,7098,4985,3524,2475,1634,983,1407
2007,107757,107531,103797,103898,102322,99411,95251,94919,92770,93887,95019,99665,107662,116358,121486,127500,130423,131996,125050,122059,115360,113841,111794,108742,107789,109469,110245,113687,111965,109086,111451,113976,119078,124909,123787,126269,126859,123511,122073,127780,134891,136306,136724,136500,127266,121383,117654,116143,116954,116494,117859,118242,116364,113848,116489,115500,114271,118882,122869,126740,127528,128704,126882,124135,115454,105147,92288,87351,87089,82611,77707,74553,70042,66978,64554,65438,63453,62808,58863,58569,54474,52806,50845,47641,44904,40296,39193,36118,26053,21704,18449,14915,11652,9289,7061,5306,3564,2489,1655,1090,1458
2008,109664,109163,108612,104756,104787,103126,100201,96067,95719,93622,94660,95827,100488,108451,117259,122379,128497,131561,133048,125923,123036,116418,115665,114044,111172,110070,111505,112140,115553,113621,110624,112996,115318,120268,126031,124813,127269,127556,124290,122783,128312,135349,136739,137073,136777,127534,121618,117817,116282,116948,116447,117782,118098,116144,113599,116212,115144,113828,118419,122303,126059,126803,127891,126012,123094,114389,104072,91217,86332,85811,81385,76448,73193,68667,65419,62888,63609,61451,60538,56549,55907,51528,49729,47387,44053,41085,36353,34942,31666,22491,18266,15285,12048,9158,7185,5350,3816,2535,1692,1092,1545
2009,112120,110902,110130,109473,105597,105582,103912,101013,96850,96577,94374,95475,96681,101427,109329,118226,123688,129737,132767,134115,127078,124428,118592,118411,116944,113853,112598,113807,113896,117605,115322,112222,114466,116578,121481,127168,125766,128142,128316,125106,123502,128991,135866,137195,137506,137055,127837,121839,117981,116434,117025,116462,117742,117937,115970,113398,115938,114786,113369,117863,121780,125487,126043,127038,125107,121996,113294,103011,90193,85263,84557,80133,75096,71680,67108,63750,61169,61652,59306,58184,53981,53105,48617,46603,43903,40365,37203,32502,30753,27372,19120,15292,12499,9547,6993,5417,3936,2722,1732,1087,1636
